County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Vehicle Location,Electric Utility,2020 Census Tract,Lon,Lat
King,Tukwila,WA,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,52650.0,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200.0,-122.29179,47.43473
King,Seattle,WA,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,87.0,69900.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803.0,-122.40092,47.65908
King,Seattle,WA,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34.0,52650.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003500.0,-122.35436,47.67596
Clark,Vancouver,WA,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,239.0,31950.0,POINT (-122.55149 45.69345),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040603.0,-122.55149,45.69345
King,Shoreline,WA,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,84.0,69900.0,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900.0,-122.35029,47.71871
Clark,Vancouver,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,69900.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040904.0,-122.62731,45.71668
King,Renton,WA,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,52650.0,POINT (-122.1805 47.50006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401.0,-122.1805,47.50006
Pierce,Edgewood,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.29521 47.19045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053940009.0,-122.29521,47.19045
Snohomish,Lynnwood,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051500.0,-122.29245,47.82557
King,Kent,WA,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029507.0,-122.19975,47.37483
King,Renton,WA,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,69900.0,POINT (-122.1805 47.50006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401.0,-122.1805,47.50006
King,Kirkland,WA,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022703.0,-122.2066,47.67887
King,Redmond,WA,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.0,-122.13158,47.67858
Pierce,Gig Harbor,WA,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10.0,52650.0,POINT (-122.58964 47.34235),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072506.0,-122.58964,47.34235
Thurston,Olympia,WA,2024,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,69900.0,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011000.0,-122.9131,47.01359
King,Seattle,WA,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026600.0,-122.36178,47.49408
King,Auburn,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902.0,-122.23035,47.3074
King,Redmond,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,69900.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324.0,-122.13158,47.67858
Kittitas,Ronald,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-121.02627 47.23781),PUGET SOUND ENERGY INC,53037975101.0,-121.02627,47.23781
Snohomish,Bothell,WA,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258.0,69900.0,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051936.0,-122.18384,47.8031
Thurston,Olympia,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.75103 47.08149),NO KNOWN ELECTRIC UTILITY SERVICE,53067012221.0,-122.75103,47.08149
Snohomish,Edmonds,WA,2016,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27.0,52650.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061051601.0,-122.31768,47.87166
Whatcom,Ferndale,WA,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.5945 48.84787),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010503.0,-122.5945,48.84787
Clark,Ridgefield,WA,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40.0,52650.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040403.0,-122.74595,45.81539
Thurston,Olympia,WA,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,52900.0,POINT (-122.92333 47.03779),NO KNOWN ELECTRIC UTILITY SERVICE,53067011902.0,-122.92333,47.03779
King,Bellevue,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,69900.0,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025008.0,-122.12096,47.55584
King,Issaquah,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,69900.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104.0,-122.03439,47.5301
King,Sammamish,WA,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,210.0,69900.0,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213.0,-122.03539,47.61344
King,Bothell,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.0,-122.20563,47.76144
King,Redmond,WA,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803.0,-122.13158,47.67858
Snohomish,Edmonds,WA,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050403.0,-122.31768,47.87166
King,Seattle,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010302.0,-122.2668,47.55115
Clark,Vancouver,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,84.0,69900.0,POINT (-122.67156 45.63248),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042300.0,-122.67156,45.63248
King,Seattle,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.31676 47.68156),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033004102.0,-122.31676,47.68156
King,Sammamish,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032211.0,-122.00292,47.54748
King,Renton,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032007.0,-122.08747,47.4466
King,Renton,WA,2025,CHEVROLET,EQUINOX EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804.0,-122.08747,47.4466
Snohomish,Stanwood,WA,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,52650.0,POINT (-122.37265 48.24159),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053400.0,-122.37265,48.24159
Thurston,Olympia,WA,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901.0,-122.92333,47.03779
King,Seattle,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,69900.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100.0,-122.32427,47.63433
Kitsap,Bainbridge Island,WA,2024,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,110.0,69900.0,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090700.0,-122.521,47.62728
Thurston,Olympia,WA,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,210.0,69900.0,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211.0,-122.87741,47.05997
King,Bellevue,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,69900.0,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905.0,-122.12096,47.55584
King,Seattle,WA,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400.0,-122.30866,47.57874
King,Bothell,WA,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.0,-122.20563,47.76144
King,Tukwila,WA,2024,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,239.0,31950.0,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200.0,-122.29179,47.43473
King,Issaquah,WA,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025006.0,-122.03439,47.5301
King,Seattle,WA,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114.0,69900.0,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.0,-122.3684,47.64586
King,North Bend,WA,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,64950.0,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032706.0,-121.7831,47.49348
Snohomish,Edmonds,WA,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,69900.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050700.0,-122.37689,47.81116
Grays Harbor,Grayland,WA,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,52650.0,POINT (-124.09366 46.80933),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027001602.0,-124.09366,46.80933
King,Woodinville,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0,-122.15545,47.75448
King,Seattle,WA,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,52650.0,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302.0,-122.34223,47.61085
Kitsap,Port Orchard,WA,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901.0,-122.68471,47.50524
King,Bellevue,WA,2024,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,87.0,69900.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807.0,-122.1872,47.61001
Grays Harbor,Montesano,WA,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,52650.0,POINT (-123.60076 46.98384),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000402.0,-123.60076,46.98384
King,Renton,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.15716 47.48852),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602.0,-122.15716,47.48852
King,Des Moines,WA,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,84.0,69900.0,POINT (-122.32192 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030003.0,-122.32192,47.40139
King,Seattle,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402.0,-122.36498,47.72238
King,Federal Way,WA,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.3303 47.30151),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030313.0,-122.3303,47.30151
King,Seattle,WA,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702.0,-122.38591,47.67597
Snohomish,Bothell,WA,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,258.0,69900.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051927.0,-122.21061,47.83448
King,Renton,WA,2024,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,POINT (-122.20489 47.47532),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026200.0,-122.20489,47.47532
Thurston,Olympia,WA,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,52650.0,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012225.0,-122.75103,47.08149
King,Seatac,WA,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028801.0,-122.29179,47.43473
King,Newcastle,WA,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270.0,69900.0,POINT (-122.15716 47.48852),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025005.0,-122.15716,47.48852
Whatcom,Blaine,WA,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,52650.0,POINT (-122.74888 48.99404),CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010405.0,-122.74888,48.99404
King,Issaquah,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,69900.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103.0,-122.03439,47.5301
Pierce,South Hill,WA,2025,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,81.0,69900.0,POINT (-122.27575 47.13959),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073123.0,-122.27575,47.13959
Benton,Richland,WA,2023,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.0,54950.0,POINT (-119.26844 46.31484),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010500.0,-119.26844,46.31484
King,Seattle,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400.0,-122.30866,47.57874
Whatcom,Bellingham,WA,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,52650.0,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000201.0,-122.47107,48.75245
Pierce,Edgewood,WA,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.29521 47.19045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073501.0,-122.29521,47.19045
Snohomish,Bothell,WA,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,81.0,69900.0,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938.0,-122.18384,47.8031
King,Seattle,WA,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.36893 47.54701),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026600.0,-122.36893,47.54701
Pierce,Tacoma,WA,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,103.0,69900.0,POINT (-122.47913 47.2198),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062801.0,-122.47913,47.2198
King,Kenmore,WA,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,52650.0,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102.0,-122.24369,47.75892
King,Seattle,WA,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,258.0,69900.0,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002400.0,-122.31676,47.68156
King,Seattle,WA,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12.0,36900.0,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101.0,-122.31307,47.66127
Whitman,Pullman,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,69900.0,POINT (-117.18147 46.73015),AVISTA CORP,53075000300.0,-117.18147,46.73015
Snohomish,Bothell,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107.0,-122.21061,47.83448
Snohomish,Mill Creek,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052004.0,-122.21061,47.83448
King,Kirkland,WA,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,258.0,69900.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0,-122.2066,47.67887
Pierce,Auburn,WA,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,52650.0,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070315.0,-122.1821,47.3199
King,Issaquah,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221.0,-122.00292,47.54748
Clark,Vancouver,WA,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,69900.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041208.0,-122.59219,45.62158
Pierce,Tacoma,WA,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.43828 47.15258),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PARKLAND LIGHT & WATER COMPANY|PENINSULA LIGHT COMPANY,53053071504.0,-122.43828,47.15258
Clallam,Sequim,WA,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-123.10367 48.07965),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001800.0,-123.10367,48.07965
King,Maple Valley,WA,2023,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,87.0,69900.0,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010.0,-122.04526,47.39394
Snohomish,Bothell,WA,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,239.0,31950.0,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051916.0,-122.18384,47.8031
Island,Oak Harbor,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970700.0,-122.64682,48.29077
King,Seattle,WA,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,69900.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008800.0,-122.31009,47.60803
King,Issaquah,WA,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032219.0,-122.00292,47.54748
Thurston,Olympia,WA,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,69900.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001.0,-122.92333,47.03779
Pierce,Gig Harbor,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.58964 47.34235),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072509.0,-122.58964,47.34235
King,Issaquah,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102.0,-122.03439,47.5301
King,Seattle,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,69900.0,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0,-122.30207,47.64085
King,Renton,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.15716 47.48852),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602.0,-122.15716,47.48852
King,Seattle,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,69900.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0,-122.31009,47.60803
King,Kent,WA,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,52650.0,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405.0,-122.17743,47.41185
Whatcom,Sedro Woolley,WA,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.23857 48.50858),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000807.0,-122.23857,48.50858
Klickitat,White Salmon,WA,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,76.0,69900.0,POINT (-121.48704 45.72776),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,53039950302.0,-121.48704,45.72776
